,REGION,YEAR,WEEK,TOTAL CASES
168,Connecticut,2010,43,2.0
169,Delaware,2010,43,0.0
170,District of Columbia,2010,43,0.0
171,Florida,2010,43,0.0
172,Georgia,2010,43,7.0
173,Hawaii,2010,43,16.0
174,Idaho,2010,43,0.0
175,Illinois,2010,43,0.0
176,Indiana,2010,43,0.0
177,Iowa,2010,43,1.0
178,Kansas,2010,43,0.0
179,Kentucky,2010,43,0.0
180,Louisiana,2010,43,5.0
181,Maine,2010,43,0.0
182,Maryland,2010,43,1.0
183,Massachusetts,2010,43,1.0
184,Michigan,2010,43,0.0
185,Minnesota,2010,43,5.0
186,Mississippi,2010,43,0.0
187,Missouri,2010,43,0.0
188,Montana,2010,43,0.0
189,Nebraska,2010,43,0.0
190,Nevada,2010,43,0.0
191,New Hampshire,2010,43,0.0
192,New Jersey,2010,43,0.0
193,New Mexico,2010,43,0.0
194,New York,2010,43,4.0
195,North Carolina,2010,43,0.0
196,North Dakota,2010,43,0.0
197,Ohio,2010,43,1.0
198,Oklahoma,2010,43,1.0
199,Oregon,2010,43,0.0
200,Pennsylvania,2010,43,2.0
201,Rhode Island,2010,43,0.0
202,South Carolina,2010,43,0.0
203,South Dakota,2010,43,0.0
204,Tennessee,2010,43,1.0
205,Texas,2010,43,10.0
206,Utah,2010,43,10.0
207,Vermont,2010,43,0.0
208,Virginia,2010,43,0.0
209,Washington,2010,43,6.0
210,West Virginia,2010,43,0.0
211,Wisconsin,2010,43,1.0
212,Wyoming,2010,43,0.0
213,Puerto Rico,2010,43,0.0
214,Virgin Islands,2010,43,0.0
215,New York City,2010,43,0.0
216,Alabama,2010,44,11.0
217,Alaska,2010,44,0.0
218,Arizona,2010,44,1.0
219,Arkansas,2010,44,1.0
220,California,2010,44,7.0
221,Colorado,2010,44,2.0
222,Connecticut,2010,44,0.0
223,Delaware,2010,44,0.0
224,District of Columbia,2010,44,0.0
225,Florida,2010,44,0.0
226,Georgia,2010,44,28.0
227,Hawaii,2010,44,10.0
228,Idaho,2010,44,0.0
229,Illinois,2010,44,2.0
230,Indiana,2010,44,0.0
231,Iowa,2010,44,1.0
232,Kansas,2010,44,1.0
233,Kentucky,2010,44,2.0
234,Louisiana,2010,44,6.0
235,Maine,2010,44,0.0
236,Maryland,2010,44,1.0
237,Massachusetts,2010,44,1.0
238,Michigan,2010,44,0.0
239,Minnesota,2010,44,1.0
240,Mississippi,2010,44,0.0
241,Missouri,2010,44,1.0
242,Montana,2010,44,0.0
243,Nebraska,2010,44,0.0
244,Nevada,2010,44,0.0
245,New Hampshire,2010,44,1.0
246,New Jersey,2010,44,0.0
247,New Mexico,2010,44,0.0
248,New York,2010,44,9.0
249,North Carolina,2010,44,0.0
250,North Dakota,2010,44,1.0
251,Ohio,2010,44,1.0
252,Oklahoma,2010,44,0.0
253,Oregon,2010,44,0.0
254,Pennsylvania,2010,44,7.0
255,Rhode Island,2010,44,0.0
256,South Carolina,2010,44,0.0
